text,label,exp1_pred,exp1_conf,exp3_pred,exp3_conf
Walang Tuwid Na Daan! Ang Tuwid Na Daan ay nasa puso't isip lamang ni PNoy at Mar Roxas at LP! Walang Tuwid Na Daan! Niloloko lang mga Pinoy,1,1,0.9826214,1,0.982
We still support Mar Roxas. You can't bring a good man down. :),0,1,0.87278837,0,0.9946
Di magtataka yung mga tao eh. The one of us mentality.,1,1,0.921992,0,0.8667
The Benghazi hearings. It's the American version of the never ending Binay hearings we have here.,1,1,0.9957451,0,0.7373
What is the name of Binay's fandom? #BINAYaran. :)) Basta ako #JaDine lang.,1,1,0.9923955,0,0.9854
"Mar Roxas, you are an embarrassing idiot. #LaglagBala",1,1,0.9790006,1,0.999
Wag niyo ipalabas yung nognog commercial ni binay kapag otwol nakakawalang gana,1,1,0.9965155,1,0.984
"My Uber driver asked me kung sino ang presidente ko. I just answered ""kahit sino, 'wag lang si Binay"" ???? #Halalan2016",0,1,0.9949418,1,0.5654
RT @cnnphilippines: Supreme Court upholds CA decision on Junjun Binay's case https://t.co/teNnjqJnmu https://t.co/awdEI5xI85,0,0,0.9911963,0,1.0
Isang malaking NGANGA sa political ad ni #Binay! Hahaha very irritating!,1,1,0.99168944,1,0.9966
#AyawSaDilaw https://t.co/dLmg3LqCY8 via @youtube,1,1,0.9963587,1,0.9927
"@cfherrera_mst @pinoymommy @pinoy_daddy @Wenchie318 kasama  iyong pinsan ko sa kaso, si  Monsour del Rosario, he &amp; I dont agree on Binay",0,0,0.990343,0,0.9985
I am PCOS machine and my president is Mar Roxas. #DayaanMOVES,1,1,0.9829541,1,0.994
Presedential bet Grace Poe immediately REJECTED administration standard-bearer Mar Roxas's call for unity... https://t.co/1Orltfel00,0,1,0.9342612,0,0.9985
JOSHANELT FOR BLOODYCRAYONS https://t.co/F6DtlJ6qUJ,0,1,0.9943667,1,0.629
'Di naman ako si Binay. Pero bakit hindi mo makitang andito lang ako para sa'yo. #HugotHalalan https://t.co/KmRrMwSYbZ,0,1,0.9261875,0,0.9727
Jejomar Binay,0,0,0.78055704,0,0.9917
Binay and Marcos now leading the surveys. we're doomed.,1,1,0.97906744,1,0.9883
RT @SagadaSun: These elites will RULE no matter who wields political power. But I think they are afraid of Binay and egged his demolition. …,0,1,0.7938629,0,0.9414
Atty. Allan Montaño ng NAGKAISA tatakbo sa ilalim ng UNA ni VP Binay @NewsLightTV http://t.co/pQajUp4GbH,0,0,0.7541888,0,1.0
"Villar and Binay have the same campaign strategies, target nila ang TV-Audiences.",0,0,0.63026637,0,0.7905
"@deejayap @mgvtrb Ok. So Bautista's FOR Poe, Guanzon's FOR Roxas. Who's FOR Binay, Duterte and the rest? Commission FOR (not ON) Elections.",0,1,0.99301505,0,0.992
"Natawa ako sa news abt BINAY!https://t.co/tTsbPrmMRn nya w/""kana""chix 2.Q kng pano nya sinulot ang VP position?3.P-NAY na raw if ever",0,1,0.99567693,0,0.9946
"BACOLOD MAYORALTY AS OF 7:17PM

1. DUTERTE, RODY (PDPLBN); 7,034,664
2. POE, GRACE (IND;) 4,012,417
3. ROXAS, MAR... https://t.co/P79fSZ0qej",0,1,0.9959791,0,0.9995
NAKAKASUKA YUNG ADS TALAGA NI BINAY PWE!!! ????,1,1,0.9957092,1,0.9995
bat ganon ang weird ng itsura ni binay https://t.co/cRIP2h3xXF,1,1,0.9300529,1,0.845
"Nognog,pandak, laki sa hirap. Yan si Binay.

Hahahaha. Ang itim niya… https://t.co/j8eLz70rab",1,1,0.9950641,1,0.999
"RT @ihateposh: ""Kris Aquino: I got sunburned.

Nancy Binay: Kung sunog 'yan, ano ako?"" https://t.co/RQAO3o4ESU",1,1,0.99631435,1,0.7275
"It's an allstar cast of terrible politicians. Binay, Pacquiao, Alma Moreno, Tito Sotto; they've the Space Jam Monstars",1,1,0.9953583,1,0.975
"Karen: ""YES OR NO?""Binay: ""Ha?""Reaksyon ko din sa pagiging kandidato mo, Binay ?? #PiliPinasDebates2016",0,0,0.99127746,0,0.996
Puppet daw ng dilaw si Leni. So si Duterte ay puppet ng pula? Binay puppet ng asul? Poe puppet ng puti? Rainbow ba? #Eleksyon2016 #RecountVP,1,1,0.99145526,1,0.9893
"Report: Mayor Duterte says presidential run ‘now on the table’.
VP Binay: My presidential run is ""under the table"". https://t.co/ktDLIInutI",0,1,0.99629223,0,0.9985
CarGlen Wala Nang Iba,0,1,0.95195735,0,0.535
Ako ramay nalungkot kay Mar Roxas,1,1,0.5431242,1,0.91
"Nakkaasar lang tong si Binay,kasi puro pangako.Anong ginawa nya nung nanalo sya,nagpa tan lang ng bongga ganon? Jusko #PiliPinasDebates2016",1,1,0.996655,1,0.9995
Wag ng umasa Mar Roxas masakit umasa.,1,0,0.9790293,1,0.9316
Putangina mo Mar Roxas! Wala ng maniniwala sayo! ????????????,1,1,0.99301624,1,0.9995
"@jepoi_ordaniel He has enough time. A lot can still happen to Binay, Santiago and Llamanzares. ??",0,1,0.99032,0,0.9946
#WantedPresident,0,0,0.8058533,0,0.7036
#HalalanResults aantayin ko na maging 20m kay duterte tapos 7m lang kay roxas tapos matutulog na ako??????,0,0,0.9860962,0,0.9536
"@TheJhonitor absolutely, but don't be so sure if Duterte will take his seat for presidency, remember Poe is a big threat to his candidacy...",0,0,0.9917612,0,0.998
"Poverty, not corruption, is PHL's current moral issue –VP Binay #Eleksyon2016 https://t.co/6VRg8MUIEj https://t.co/t2Of9Dnjf9",0,1,0.93285865,0,1.0
I thought matino pa tong si APC. Now Im beginning to think he is behind black props vs Mar. Not excluding Binay yet. https://t.co/vh40H8h9Xj,1,1,0.9960997,0,0.761
2nd si Mar Roxas??!! What the??!! #Halalan2016 #HalalanResults #DayaangDilaw,1,1,0.99659675,1,0.9976
Definitely not voting anybody who supports Enrile/Binay.,1,1,0.99002564,1,0.9062
"Wag kami Grace Poe nagkabisado ka na naman, mamaya mali mali na naman ang info mo. Don't us

 #PiliPinasDebates2016",1,1,0.995382,1,0.985
"Where's the credibility on your advertisement, Jejomar Binay? #trapo #manlilinlang #NoToBinay2016",1,1,0.9961288,1,0.995
"Given, nangunguna si Mayor pero ako nalulungkot ako kasi si Poe, Roxas at Binay mas mataas kay Mamang MDS? Idagdag pang si Pacman nasa 12 :(",0,1,0.7447453,0,0.9683
"Bondal: Sa kabila ng mga nai-prisinta naming ebidensya dito, hindi pa rin umuupo si VP Binay.",0,1,0.99608934,0,0.999
"Vote buying in different names... ""envelopes"", ""incentives"", etc... T.T
#Poe2016 #RoRo #Halalan2016 #Election2016 #duterte #Duterte2016",1,1,0.9956844,1,0.5405
I never thought ABSCBN and Mar Roxas would really be stooping down to gutter level by using children in their black propaganda!,1,1,0.9949975,1,0.5513
"#BINAY:If elected, will you say NO to Corruption? https://t.co/Yga4UzE9Jh",1,1,0.99635494,1,0.987
Mar Roxas ????,0,0,0.67838734,0,0.611
"Binay camp hits back at Roxas, Palace spox; says LP's 'full-court press' an attempt to divert attention from its failure to address poverty.",0,0,0.992423,0,0.999
RT @Politiko_Ph: Trillanes sets record straight on conflict with Binay: Hindi kami magkaaway… https://t.co/EgOE8aDRAr @nancybinay @mayormon…,0,1,0.9956351,0,0.9976
WATCH: Trillanes says he tried to prevent a Binay presidency https://t.co/H0qckW2oxi,0,0,0.99364424,0,1.0
#Halalan2016,0,0,0.79841864,1,0.648
"""For example, Mar Roxas got INC’s endorsement in the 2010 polls when he ran for Vice President...""#DangersInINCVoteshttps://t.co/dW3mGqqrzQ",0,1,0.9965287,0,0.948
Currently stalking Jejomar Binay. Mapapamura ka talaga. ??,1,1,0.99249977,1,0.994
"Roxas one-ups Miriam, Binay in forum https://t.co/PmIUKDexHJ",0,0,0.9679865,0,1.0
Santiago at Duterte tatakbo baka mahati yung vote :3 Tapos si Binay pa yung mananalo. Ohh nooo. #Duterte2016,1,1,0.8412855,1,0.908
"@kerwin_patrick @cnnphilippines so naitanong mo na rin ba yan sa ibang candidates? As far as i know si mar, grace &amp; binay not showing up too",0,1,0.97654176,0,0.998
#OnlyBinay,0,0,0.9914746,0,0.98
"Not a Poe supporter nor hater, but good thing Supreme Court got its senses. We cannot have Binay as our president, please.",0,1,0.6929633,1,0.874
RT @JayJayNaya: Only Binay can ruin my day... Hahaha... Only Binay Nognog Pandak,1,1,0.99430674,1,0.957
RT @Puckyouh: Wth ' Only Binay ' trend is hilarious. I'm not tanga nognog.,1,1,0.99638003,1,0.9883
Bakit ang payat at haggard ni grace poe? #inthenews,0,0,0.9901445,1,0.8545
PH Vote Duterte ????????,1,0,0.72992134,0,0.597
"PPCRV Presidential candidate results: (PARTIAL) as of 10:30 p.m.
1 - DUTERTE- 12,263,802
2 - ROXAS-7,024,106
3 -... https://t.co/A0N8QgSqK2",0,1,0.95382124,0,0.9995
"Today, I worked on a Binay birthday coverage. He signed a 'We love you Nognog' tarpaulin.

Yes......no.",0,0,0.9892464,0,0.8374
Fuck You Mar Roxas!,1,1,0.99447024,1,0.9995
"Ang pag-aaral, pinagpapatuloy hindi inaantala dahil sa kahirapan.  #BinayForPresident #Binay2016 #OnlyBinay https://t.co/ftBrSigRC4",0,0,0.9923781,0,0.9995
"RT @punyeta_quotes: Pag natalo sa eleksyon, Alma and Binay be like: 
Alma: ????
Binay: ????",0,0,0.98450977,0,0.9155
putangina mo binay wag mo kami idamay sa nognog na yan,1,1,0.9936392,1,0.9995
"Binay didn't know that under Daang Matuwid, 7.7M Filipinos escaped poverty. Let me repeat: 7.7M are no longer poor. #politicsph",1,1,0.9629502,0,0.7456
Binay itinanggi na may kinalaman sa  housing backlog 2 taon pagkatapos ng Yolanda: ITINANGGI ni Vice President... https://t.co/STFkzjyQYr,0,0,0.99202204,0,0.9937
#BINAY: The Tangled Thickets of Makati corruption.Bakit nasama pati si Jun-Jun? https://t.co/xAUWWDKXf1,0,0,0.95756626,0,0.9956
"Reading articles on the ""call for unity"". Reminded myself why I am not for Mar Roxas.",0,1,0.99541265,0,0.7744
ASAN LOGIC NYO? MAY MASABI LANG? NAKIKISABAY SA USO. USO KASI NGAYON IBASH ANG KN DAHIL KAY MAR ROXAS EH.,1,0,0.7658268,1,0.928
"RT @Cinephilliacy: ito si binaysi binay ay nognog, pandak,  at laki sa hirapsi binay ay magnanakawhuwag natin siyang tularan https://…",1,1,0.98341286,1,0.987
"PNoy, Binay visit 'Lando'-hit areas https://t.co/JoejY7LE5N #Manila #News #Asia",0,0,0.9929147,0,0.9995
"It looks like its a battle between Duterte, Poe and Roxas for the Presidency and Robredo vs. Marcos for the vice presidency #HalalanResults",0,0,0.9921029,0,0.9995
"@_stephispano Kaya nga daw ""Kay Binay gumanda ang buhay"".",0,0,0.9853768,0,0.9893
Yung matatawa ka nalang sa advertisement ni Binay at Roxas. Wag kami uyyyy! #VoteWisely #Election2016,1,1,0.97517747,1,0.968
"""Pero di tulad ng iba, maraming nagawa. Yan si Binay."" AHAHAHAHAHAHAHAAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA.",1,1,0.8576267,0,0.9453
Re Sen. Poe - We respect M. Duterte's opinion but SET opinion not political. Members crossed party lines in deciding https://t.co/R0w3a0MAea,0,1,0.9927666,0,1.0
"RT @alvinryansantos: @nerowattz i hope he wins. Poe is not filipino, mar is slow, mirriam is old and only binay is corrupt and next to sata…",1,1,0.9960224,1,0.9585
totoo na pala. Nalilito na ko kung si Miriam o si Duterte. yes! makakapag-isip na ko.,0,1,0.6284448,0,0.9976
"""WALA NANG MAKAKAPANTAY SA AKIN""

TEKA TAMA BA NARINIG KO? HOW TO BE U PO BINAY HE HE HE",1,0,0.9894875,1,0.9497
There are 2 types of people in the world. The Pro-Binay and the Anti-Binay. And the Anti-Binays be like: Santiago/Poe/Duterte/Roxas.,0,0,0.9918515,0,0.9946
Hindi ako makaget over dun sa Hala Nahuloglog jokes. Lalo na yung Hala Nasu-nog-nog ni Binay ??,0,0,0.9923423,1,0.61
Friend:... https://t.co/Yee82ApeTR,0,1,0.53017193,0,0.9478
Binay Marcos for 2016 @sandraguinaldo  https://t.co/ixCjl7sunF,0,1,0.9864211,0,0.9946
Gago Binay ?? #PiliPinasDebates2016,1,1,0.9936113,1,0.998
#binay2016 :Bawal na bawal na ang Kurakot sa Palasyo! https://t.co/RWnUAqCLD6,1,1,0.9334902,1,0.992
"Pangatlo na lang si Roxas, sana mamaya pang-apat na lang. ?? #Halalan2016",0,0,0.9633709,0,0.964
All the dynamics is with Poe and Binay because of the ferocious attempts by the bottom dwellers to get rid of them. @momblogger,0,1,0.9844518,0,0.98
Puta tigilan nyo na yang commercial ni binay! Kairita mukha ni kuya! Ang plastic ay! Hahahaha,1,1,0.99566144,1,0.9995
#MarRoxasIsMyPresident #Halalan2016,0,1,0.91409206,0,0.6753
Kupal si mar kupal din si binay. Hahaha,1,0,0.6673274,1,0.998
"@Chip2chip2 @supsup010 sample sentence. ""I won't vote for a Binay"". That simple.",1,1,0.99515545,1,0.727
Para lang to nung Binay vid haha https://t.co/DCK2lROcKR via @YouTube,0,0,0.98200285,0,0.9873
Hindi bagito sa public service ang ating pambato. #LabanLeni #RoxasRobredo2016 (Photo from @roxasrobredo on Twitter) https://t.co/tm8OvkXqG6,0,1,0.9951314,0,1.0
"Kakaburaot payang ""bakit si Binay?"" Commercial nayan eh! Malay ba namin hindi naman kami close!",1,1,0.9882102,1,0.9805
For continuity. The only all-Filipino tandem. #RoxasRobredo Way drama. Trabaho lang.,0,0,0.78009546,0,0.8535
Comelec chief belies report of Duterte-to-Roxas switch in VCM testing | https://t.co/MoLgayZOEL #DUTERTECAYETANO,0,0,0.9923557,0,0.9995
"VP Jojo ""3%"" Binay vs. DOTC Secretary Joseph ""0.004%"" Abaya",0,1,0.9851177,0,0.665
FVR isa sa tinitingalang Public servant ni Vice President Binay. #WantedPresident KapusoBrigade,0,1,0.96158653,0,0.992
me @ that Binay commercial: https://t.co/x6HqnHXu3E,0,1,0.7456821,0,0.9565
Duterte widens numbers against Poe and Roxas in Unofficial polls #ILoveGMANetwork #Eleksyon2016 KapusoBrigade,0,1,0.7051859,0,0.998
@miiiiiiiing oh so u support team binay. That's quite interesting. Hahhaa,0,0,0.7946009,0,0.998
'Di naman ako si Binay. Pero bakit hindi mo makitang andito lang ako para sa'yo. #HugotHalalan https://t.co/KmRrMwSYbZ,0,1,0.9261875,0,0.972
"@cnnphilippines The reason Mar Roxas can't increase his numbers is that he is dumb and stupid and lacks sincerity, factors that can't be hid",1,1,0.9963827,1,0.967
Binay camp: More Pinoys became poor under Aquino gov’t | https://t.co/do4x1GZsQB https://t.co/9RtKew5acm,0,0,0.985924,0,0.9995
"RT @lzbthdmvvs: If you're against Mar Roxas, then iappreciate mo nalang si poging DJ and ignore Mar. #RespectDJPDecisionForMarRoxas https:/…",0,1,0.966892,0,0.9707
"Wala akong pake kung pang-ilan sa Mar Roxas, ang mahalaga nangunguna si Duterte!?? #Election2016 #TeamDuterte",0,1,0.99086,0,0.985
Kakarume ka binay!! Hilig mo manira!! Ayaw na lang mangampanya eh!!,1,1,0.9728795,1,0.9976
Atleast di nanalo si Mar roxas diba? He he #AyawNAsaDilaw,1,1,0.9949055,1,0.9927
@fearlessanj yung pcos machines nga sa gapo ate tinesting miriam at duterte nakashade pero roxas lumalabas. Pwe!,1,1,0.9947772,1,0.998
"RT @BloombergTVInd: On #MarketGuru, Binay Chandgothia, Principal Global: Don't expect Fed to increase interest rates in October. https://t.…",0,1,0.9934422,0,0.998
BINAY WILL BE IN OUR BARANGAY. I CANNOT WAIT #BinayNaPo,0,1,0.7586271,0,0.9897
"RT @Dyan_Kanalang: No money pero 2nd in spending at may pang Spotify pa POE. Paki paliwanag nga, Chiz. O busy ka sa Plan Binay mo? https://…",0,1,0.9949816,1,0.775
#BilangPilipino | via @djstaana,0,0,0.991951,0,0.9663
Soliman campaigned for LP – Binay camp https://t.co/ti32WyQQ0J #Manila #News #Asia,0,0,0.9926722,0,0.9995
RT @ricamee_: Binay's ad on tv's annoying. Sorry not sorry,1,1,0.99531734,1,0.919
"Even if you turn a blind eye on the allegations being thrown at him, Binay has an awful platform.",1,1,0.9950506,1,0.945
@ysuuuhh pang apat nga lang kanina si Mar Roxas e ????,0,0,0.90973115,0,0.976
"RT @lenbaldonado: ""Sino pang tutulong sa nognog? Eh di ang nognog din."" - Luh, Binay. Ikaw lang nognog, wag kang nandadamay. https://t.co/F…",1,1,0.99616563,1,0.974
#WantedPresident infairnes mas may kwenta yung mga sagot ni roxas kesa kay binay last week. Duterte na next week kaexcite ??,0,0,0.99311477,0,0.9546
wag nyo nman ibash yung anak ni binay,1,0,0.8688679,0,0.58
#OpinionkolangAh,1,1,0.9275585,1,0.699
"Bukod sa mga mambabatas, may PDAF ang Office of the Vice President na hiningi mismo ni VP Binay nang maluklok sa puwesto. #WantedPresident",0,1,0.99436414,0,0.7905
"@DigongQuotes @coffeejellyace9 if Grace Poe is lying about her citizenship, it is also a big lie that FPJ has no legacy, as a public servant",0,0,0.95053506,0,0.9946
TEAM BINAY talaga kami eh???? pero no problem kung si President Digong na ang panalo. MAY TIWALA PO KAMI SA INYO PRESIDENT?? #change??,0,1,0.99430853,0,0.986
"""Mar Roxas"" attends Comelec hearing on nuisance candidates | via @jv_arcena https://t.co/s3ILvbxukq",0,0,0.9919911,0,1.0
2015/11/22 02:53 PHT #trndnl https://t.co/dRwxiUtCOV,0,0,0.991861,0,1.0
Desperate times call for desperate measures. Nakakahiya si Poe! ???????? #DU30 #DutertePaRin #Duterte2016 https://t.co/qvBgwhNcrn,1,1,0.9966853,1,0.999
Fight For KAMZO,0,0,0.94135964,1,0.7847
"Yung mga sagot ni Binay, parang mga sagot ko sa Org Chem. Malayo sa tanong.",0,1,0.98356634,0,0.8003
HAHAHAHAHA wag lang si Mar Roxas plss ?????? Duterte or Miriam tayo ?? https://t.co/O7Glc1yWYp,0,1,0.99535745,0,0.963
RT @_CEREALKILL3R: President Putin of Russia. No entourage. VS our VP and BSP President. Tangna talaga si Binay. Pabebe? https://t.co/Kj4nL…,0,1,0.6268209,1,0.97
"Tatakbo na si Duterte, matutuwa na naman si Binay! Hahahahaha",1,1,0.5564455,1,0.6323
"#DUTERTE is a bad joker. But compared to an incompetent Mar, an opportunistic Poe, or a corrupt Binay-I'd still... https://t.co/r43pDDUk1a",1,1,0.9966929,1,0.992
Nakkturn off ka Poe. You got me during debates because of your wit but actions are far more important. Duterte or... https://t.co/9pFvJ7P5f1,1,1,0.9961726,1,0.936
"I always heard about Binay, Poe, Roxas candidacy campaign. But Duterte??? Damn Media!
#ALDUB32ndWeeksary",0,0,0.9923516,1,0.761
TANGINA NI BINAY MAY PANIBAGO NANAMANG COMMERCIAL PANIRA NG MOOD PUTA,1,1,0.99634355,1,0.9995
Manalo na si Poe wag lang si Roxas! #Du30 #HalalanResults,0,0,0.8461884,0,0.994
#OnlyBinayWinner,0,0,0.98096496,0,0.946
kaya naman pala kinuha ni #Binay si #AlmaMoreno tsk. let's not put more morons in the Public Office guys.  PLEASE https://t.co/cco1NZELgG,1,1,0.99551,1,0.967
[LOCAL NEWS] Poe taunts Binay: 'You wouldn't have been VP without teachers' https://t.co/Ge1cgUWxhW | via SunStar,0,0,0.9914555,0,0.9985
"#TV5Aksyon | VP Binay, ipinagdiwang ang kanyang ikapitumpu't tatlong kaarawan https://t.co/EbM194iMY4",0,1,0.9748633,0,0.9995
Mar Roxas has never been involved in any corruption. He isn't going to do any ill deed just to win. Some camps will discredit him. Beware.,0,0,0.5699282,0,0.941
#RoxasRobredo #Roxas2016 #SwitchtoMar  https://t.co/xE2UrNEPk5,0,0,0.9923447,0,0.9985
"news: ""pangako ni Binay, gagawin niya sa buong bansa ang ginawa niya para sa Makati""

what the fuck did you do for us, you corrupt pig?????",1,1,0.9960663,1,0.992
Nognog = Kai,0,1,0.9941075,1,0.964
"Bakit ngayon pa, Duterte? Bakit nagsabay kayo ni Miriam? :(",0,0,0.9936913,0,0.976
Mar Roxas: Ito ang team ng Daang Matuwid na patuloy na magbibigay kaginhawaan sa ating buong bansa. #Eleksyon2016 https://t.co/rAga6AjcF8,0,0,0.5567273,0,0.9995
Puro yung bank acc ni Rodrigo Duterte hinahalukay ni trillanes ba't di yung yolanda funds na winaldas ni Mar Roxas?,1,1,0.99672556,1,0.9453
"#NEWSROOM5 | SASAKYAN NI VP BINAY, ILIGAL DAW NA NAKA-PARK SA SEMENTERYO

For more videos, visit us at... https://t.co/kDg00w5Ff4",0,0,0.9915999,0,0.997
Don't Vote for Binay  #NogNogHambog,1,1,0.9958692,1,0.9985
don't let him get away with this!,0,0,0.99350595,0,0.9565
"Yes. Walang pagkakaiba kung si Mar ang magwithdraw. Go, Mar! You can do it! ?????? #PHVoteRoxas #PHVotePoe https://t.co/KgZv3cmETC",0,1,0.9966757,0,0.9995
"Kung maka-kembot. Puta, binay naman. ??",1,1,0.89780974,1,0.997
#OnlyBinayNangabakIlocos,0,0,0.99218845,0,0.9927
Hindi po ako naniniwalang magkalapit si Roxas at Duterts. This elections is Duterte vs Poe. Srsly.,0,1,0.9678306,1,0.9277
#ALDUBSerendipity,0,1,0.9275585,0,0.656
May bagong commercial na naman si Binay  Saan kaya siya kumukuha ng pera?,1,1,0.8827388,1,0.938
Survey nga. Kanino mo ipagkakatiwala ang Pilipinas para sa susunod na 6 years? Like para kay Mar Roxas.,0,0,0.9907244,0,0.9927
Yan Si binay! haha pat.  https://t.co/Av2STrH8Cu,0,1,0.9926247,1,0.5537
VP Binay says allegations would backfire to accusers #Eleksyon2016 https://t.co/l0DoHYIJMn  https://t.co/8dHoIw92Og …,0,1,0.81677765,0,0.9956
I am for duterte but it saddens me to see MDS last on the list. over Roxas? And Binay? wtf just happened here,1,1,0.95586705,1,0.8047
@underscorenjh @questionMAAARK Binay is tainted with corruption issues Leni is not.,1,1,0.939725,1,0.9136
"@Dee_pepper21 Galit ka sa mga anak ni Binay at Napoles dahil ineenjoy nila yung ninakaw ng parents nila, eh si BBM bakit ibang treatment?",1,1,0.99616313,1,0.8403
LATE POST: Mar Roxas arrives via helicopter @TropangMARangal #Pangasinan I via @aksyonradyopang https://t.co/Lc3GcoLIOJ,0,0,0.9929757,0,1.0
Maigigiit pa rin ni Makati Mayor Jejomar Erwin “Junjun” Binay Jr. ang... https://t.co/Bmt36D4E70,0,1,0.996335,0,0.985
Hindi man Manalo si Mirriam sana si Duterte nalang wag lang si KUPAL NA SI MAR ROXAS TANGINA NABBWISET AKO,1,1,0.9964765,1,0.9995
"Mar Roxas, pabor na 'magpagulong' ng mga ulo sa airport ; Sen. Escudero, binanatan si Abaya sa 'tanim-bala' #BreaktimeHeadlines",0,1,0.9961564,1,0.5312
Seriously? Mar Roxas? https://t.co/MRxMm9DYam,1,1,0.99536926,1,0.983
RT @KuchingKing888: Mar Roxas is a NUISANCE CANDIDATE! #NoToMarRoxas,1,1,0.9958534,1,0.994
"@jeandeesram NOGNOG,Pandak, Laki sa Hirap Yan si Binay ??",1,1,0.9848881,1,0.71
@smnthalcaria mas masakit na tinalo pa sha ni binay at roxas sa botohan wtf,1,1,0.99486756,1,0.918
"Hanga ako kay Sen Miriam Defensor. Siya na lang ang walang ads, samantalang si Roxas, Poe at Binay ang daming pera. Pano nyo babawiin yan?",1,0,0.7666041,1,0.91
"Kung alam ko lang na tatakbo si Duterte, hindi ko na sana ako sa Fruitas na may mukha ni Binay.",0,1,0.99495006,1,0.723
#NogNogHambog,1,1,0.99587375,1,0.9995
Mar Roxas is not fit to become the next president of the country. IMHO,1,0,0.5768947,1,0.938
"YOU'RE A FUCKING DISGRACE, NAGHIHIRAP KAMI PUMILA ANG DAMING SENIOR NA NAGHIHINTAY TAPOS NAUNA KAYO. DAANG MATUWID!! https://t.co/c1KpCjyToV",1,1,0.9795685,1,0.9985
@shnldsm bakit kasi nakilala pa si BINAY!,0,1,0.9551456,0,0.9897
